query,normalized_query,page,clicks,impressions,ctr,position,query_intent_guess,query_theme_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,notes
gevelisolatie afwerking,gevelisolatie afwerking,https://bm-klus-bv.nl/gevelisolatie/,0,123,0,17.82,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie almere,gevelisolatie almere,https://bm-klus-bv.nl/gevelisolatie-woning-almere-35m2-sierpleister/,0,828,0,13.3,commercial_investigative,core_isolation,/gevelisolatie-woning-almere-35m2-sierpleister/,,low,
gevelisolatie alphen aan den rijn,gevelisolatie alphen aan den rijn,https://bm-klus-bv.nl/gevelisolatie/alphen-aan-den-rijn/,0,1,0,10,commercial_investigative,core_isolation,/gevelisolatie/alphen-aan-den-rijn/,city,high,
gevelisolatie breda,gevelisolatie breda,https://bm-klus-bv.nl/gevelisolatie/breda/,0,6,0,16.17,commercial_investigative,core_isolation,/gevelisolatie/breda/,city,high,
gevelisolatie buitenkant,gevelisolatie buitenkant,https://bm-klus-bv.nl/gevelisolatie/,0,55,0,19.6,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie buitenkant,gevelisolatie buitenkant,https://bm-klus-bv.nl/gevelisolatie/kosten/,0,1,0,40,commercial_investigative,core_isolation,/gevelisolatie/kosten/,cluster,high,
gevelisolatie buitenkant kosten,gevelisolatie buitenkant kosten,https://bm-klus-bv.nl/gevelisolatie/,0,2,0,16.5,commercial,prijs_kosten,/gevelisolatie/,service,high,
gevelisolatie buitenkant kosten,gevelisolatie buitenkant kosten,https://bm-klus-bv.nl/gevelisolatie/kosten/,0,2,0,11,commercial,prijs_kosten,/gevelisolatie/kosten/,cluster,high,
gevelisolatie buitenkant stucwerk,gevelisolatie buitenkant stucwerk,https://bm-klus-bv.nl/gevelisolatie/,0,15,0,11.67,commercial_investigative,stuc_crepi,/gevelisolatie/,service,high,
gevelisolatie buitenzijde,gevelisolatie buitenzijde,https://bm-klus-bv.nl/gevelisolatie/,0,1,0,20,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie buitenzijde kosten,gevelisolatie buitenzijde kosten,https://bm-klus-bv.nl/gevelisolatie/,0,12,0,18.08,commercial,prijs_kosten,/gevelisolatie/,service,high,
gevelisolatie den haag,gevelisolatie den haag,https://bm-klus-bv.nl/gevelisolatie/,0,110,0,55.24,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie den haag,gevelisolatie den haag,https://bm-klus-bv.nl/gevelisolatie/den-haag/,0,136,0,9.25,commercial_investigative,core_isolation,/gevelisolatie/den-haag/,city,high,
gevelisolatie dikte,gevelisolatie dikte,https://bm-klus-bv.nl/gevelisolatie/rc-waarde-dikte/,0,3,0,6,commercial_investigative,technical_rc_dikte,/gevelisolatie/rc-waarde-dikte/,cluster,high,
gevelisolatie gouda,gevelisolatie gouda,https://bm-klus-bv.nl/gevelisolatie/,0,18,0,82.94,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie gouda,gevelisolatie gouda,https://bm-klus-bv.nl/gevelisolatie/gouda/,0,1,0,4,commercial_investigative,core_isolation,/gevelisolatie/gouda/,city,high,
gevelisolatie kosten,gevelisolatie kosten,https://bm-klus-bv.nl/gevelisolatie/,0,26,0,58.65,commercial,prijs_kosten,/gevelisolatie/,service,high,
gevelisolatie kosten,gevelisolatie kosten,https://bm-klus-bv.nl/gevelisolatie/kosten/,0,43,0,19.3,commercial,prijs_kosten,/gevelisolatie/kosten/,cluster,high,
gevelisolatie kosten en voordelen,gevelisolatie kosten en voordelen,https://bm-klus-bv.nl/gevelisolatie/,0,12,0,34.75,mixed,prijs_kosten,/gevelisolatie/,service,high,
gevelisolatie leiden,gevelisolatie leiden,https://bm-klus-bv.nl/gevelisolatie/,0,142,0,82.8,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie maastricht,gevelisolatie maastricht,https://bm-klus-bv.nl/gevelisolatie/,0,2,0,59.5,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie met crepi,gevelisolatie met crepi,https://bm-klus-bv.nl/gevelisolatie/,0,36,0,80.64,commercial_investigative,stuc_crepi,/gevelisolatie/,service,high,
gevelisolatie offerte,gevelisolatie offerte,https://bm-klus-bv.nl/gevelisolatie/,0,4,0,20,commercial,offerte,/gevelisolatie/,service,high,
gevelisolatie offerte,gevelisolatie offerte,https://bm-klus-bv.nl/gevelisolatie/kosten/,0,1,0,29,commercial,offerte,/gevelisolatie/kosten/,cluster,high,
gevelisolatie prijs,gevelisolatie prijs,https://bm-klus-bv.nl/gevelisolatie/,0,25,0,15.04,commercial,prijs_kosten,/gevelisolatie/,service,high,
gevelisolatie prijs,gevelisolatie prijs,https://bm-klus-bv.nl/gevelisolatie/kosten/,0,3,0,25.33,commercial,prijs_kosten,/gevelisolatie/kosten/,cluster,high,
gevelisolatie rc waarde,gevelisolatie rc waarde,https://bm-klus-bv.nl/gevelisolatie/rc-waarde-dikte/,0,1,0,22,commercial_investigative,technical_rc_dikte,/gevelisolatie/rc-waarde-dikte/,cluster,high,
gevelisolatie rotterdam,gevelisolatie rotterdam,https://bm-klus-bv.nl/gevelisolatie/dordrecht/,0,1,0,95,commercial_investigative,core_isolation,/gevelisolatie/dordrecht/,city,high,
gevelisolatie rotterdam,gevelisolatie rotterdam,https://bm-klus-bv.nl/gevelisolatie/rotterdam/,0,26,0,53.73,commercial_investigative,core_isolation,/gevelisolatie/rotterdam/,city,high,
