keyword,match_type,ad_group,status,healthy_impr,healthy_clicks,healthy_cost,healthy_conv,bad_impr,bad_clicks,bad_cost,bad_conv,recovery_impr,recovery_clicks,recovery_cost,recovery_conv
dunne buitengevelisolatie,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
dunne buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
dunne buitengevelisolatie,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
eps buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
eps buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
etics gevelisolatie,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
etics gevelisolatie,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isolatie buitenzijde,EXACT,Gevelisolatie - Core,ENABLED,1,1,0.63,0.0,11,3,4.79,0.0,16,2,1.7,0.0
gevel isolatie buitenzijde,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,3,1,2.08,0.0
gevel isoleren buitenkant,EXACT,Gevelisolatie - Core,ENABLED,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isoleren buitenkant,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isoleren buitenzijde,EXACT,Gevelisolatie - Core,ENABLED,7,1,1.1,0.0,4,1,0.61,0.0,14,2,2.05,0.0
gevel isoleren buitenzijde,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isoleren en bekleden,EXACT,Gevelisolatie - Afwerking,ENABLED,4,0,0.0,0.0,20,4,3.44,0.0,23,4,5.8,0.0
gevel isoleren en bekleden,PHRASE,Gevelisolatie - Afwerking,ENABLED,156,16,20.93,1.0,214,23,40.63,0.0,263,24,47.75,2.0
gevel isoleren en bekleden met steenstrips,EXACT,Gevelisolatie - Afwerking,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,2,2,8.56,0.0
gevel isoleren en bekleden met steenstrips,PHRASE,Gevelisolatie - Afwerking,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isoleren en stucen,EXACT,Gevelisolatie - Afwerking,ENABLED,10,2,2.42,0.0,6,1,0.8,0.0,1,0,0.0,0.0
gevel isoleren en stucen,PHRASE,Gevelisolatie - Afwerking,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isoleren offerte,EXACT,Gevelisolatie - Offerte,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isoleren offerte,PHRASE,Gevelisolatie - Offerte,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isoleren vergunning,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel isoleren vergunning,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
gevel van buiten isoleren,EXACT,Gevelisolatie - Core,ENABLED,8,0,0.0,0.0,2,0,0.0,0.0,0,0,0.0,0.0
gevel van buiten isoleren,PHRASE,Gevelisolatie - Core,ENABLED,184,29,26.96,0.0,102,14,20.42,0.0,134,17,18.33,0.0
gevelisolatie,EXACT,Gevelisolatie - Core,ENABLED,28,3,2.71,0.0,16,2,1.61,0.0,23,4,8.47,0.0
gevelisolatie,PHRASE,Gevelisolatie - Core,ENABLED,70,9,11.1,0.0,26,4,1.63,0.0,56,6,8.77,1.0
